row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,kuangke_qingliu_libai_arrogance,trigger_tags=[kuangke_qingliu]|weight=10|era=747_kuangda,prop_gt(name=ambition; val=30)|prop_lt(name=ambition; val=100),千金换醉,李白醉醺醺地从胡姬酒肆里探出头来，手里晃着一个空酒壶：「子美！来得正好，我方才向店家赊了三斗酒，说是你请客——你不会拆我台吧？」他大笑起来，笑声把旁边桌上的胡琴声都盖过去了。酒肆的胡姬翻了翻眼睛，似乎已经习惯了这位常客的白吃白喝。,prop_add(name=INSPIRATION; val=10) | prop_add(name=DRUNK; val=20),,,,
>option,,,trait_has(name=kuangda_kuangke),,"你往柜上扔了最后一串铜钱，在太白对面坐下：「今日只管喝到日头落山。」",,prop_sub(name=FATIGUE; val=20) | prop_sub(name=BURNOUT; val=20) | prop_add(name=INSPIRATION; val=15) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=TARGET_NPC_LIBAI:wine_gourd),,,
random_event,kuangke_qingliu_libai_tranquility,trigger_tags=[kuangke_qingliu]|weight=10|era=747_kuangda,prop_gt(name=ambition; val=30)|prop_lt(name=ambition; val=100),蜀中的句子,曲江水畔，柳树荫下。李白半躺在一块青石上，手里拈着一片柳叶，放在唇边吹出一个不成调的短音。见你来，他把柳叶往你手里一递：「刚才在想要是去蜀中，应当走哪条路。」他的语气不是问路，是邀约。你还没回答，他已经开始掐指算他今年还剩下几两盘缠。,prop_add(name=INSPIRATION; val=10),,,,
>option,,,trait_has(name=kuangda_kuangke),,"你接过柳叶，在旁边的青石上坐下来：「你走哪条路，我听听就是。」",,prop_sub(name=FATIGUE; val=20) | prop_sub(name=BURNOUT; val=20) | prop_add(name=INSPIRATION; val=15) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=TARGET_NPC_LIBAI:wine_gourd),,,
random_event,kuangke_qingliu_wangwei_tranquility,trigger_tags=[kuangke_qingliu]|weight=10|era=747_kuangda,prop_gt(name=ambition; val=30)|prop_lt(name=ambition; val=100),辋川的空林,辋川别业的竹里馆前，王维正对着空山抚琴。琴声极缓，像是在等山间的雾气流动。他见你来了，没有停手，只以目光示意你在旁边的蒲团坐下。一曲终了，他轻轻按住琴弦，山间的寂静这才重新落回原处。他没有问你为何来，也没有说他为何在这里。他起身从书案上取来一卷新写的诗稿，搁在你面前。,prop_add(name=INSPIRATION; val=15),,,,
>option,,,trait_has(name=kuangda_kuangke),,"你翻开诗稿，看到第一行时点了点头：「这句——留得对。」",,prop_sub(name=FATIGUE; val=20) | prop_sub(name=BURNOUT; val=20) | prop_add(name=INSPIRATION; val=15) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=VIBE_PHILOSOPHY_ZEN:temple_bell),,,
random_event,kuangke_qingliu_wangwei_sorrow,trigger_tags=[kuangke_qingliu]|weight=10|era=747_kuangda,prop_gt(name=ambition; val=30)|prop_lt(name=ambition; val=100),未完成的马,王维的画室里散落着数幅未完的画稿。你注意到最上面那幅只画了一匹马的前半身——马首昂扬，鬃毛飞动，但后半身仍是一片空白，像是这匹马永远停在了一个即将冲刺的瞬间。王维站在窗前，背对着你，手里握着一支洗净了的笔：「昨日收了信，裴迪说他今秋不入关了。」他的话像他的画一样，说了一半，剩下的一半留在空气里。,prop_add(name=INSPIRATION; val=15),,,,
>option,,,trait_has(name=kuangda_kuangke),,"你走到画案前，拿起笔在空白的后半张纸上补了一截远山：「马走远了，山还在。」",,prop_sub(name=FATIGUE; val=20) | prop_sub(name=BURNOUT; val=20) | prop_add(name=INSPIRATION; val=15) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=VIBE_PHILOSOPHY_ZEN:temple_bell),,,
random_event,kuangke_qingliu_zhengqian_anger,trigger_tags=[kuangke_qingliu]|weight=10|era=747_kuangda,prop_gt(name=ambition; val=30)|prop_lt(name=ambition; val=100),乱葬岗的约定,郑虔从广文馆出来时天已经黑了，他拎着一壶浊酒，脸上带着少见的愠色：「今日有学生家长来闹，说广文馆教的都是没用的诗文，不如送孩子去学记账。」他骂了一声，往城外的方向走。你跟在他后面，穿过一条黢黑的巷子，一直走到城郊那处乱葬岗。他在一棵枯树下停住，把酒洒了一半在地上：「跟那些骨头说，诗人也要吃饭——但我偏不给他们记账。」,prop_sub(name=HEALTH; val=5),,,,
>option,,,trait_has(name=kuangda_kuangke),,"你接过剩下的半壶酒，也在枯树根下浇了一圈：「吃饭的事明天再说，今天我站你这边。」",,prop_sub(name=FATIGUE; val=20) | prop_sub(name=BURNOUT; val=20) | prop_add(name=INSPIRATION; val=15) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=ENV_NATURE_SNOWSTORM:lone_snow),,,
random_event,kuangke_qingliu_zhengqian_sorrow,trigger_tags=[kuangke_qingliu]|weight=10|era=747_kuangda,prop_gt(name=ambition; val=30)|prop_lt(name=ambition; val=100),未寄的信,广文馆后院，郑虔坐在井沿上，膝上摊着一封写了一半的信。墨水已经干了很久，他的笔搁在信封上，笔尖凝了一颗陈墨。信的开头写着「母亲大人安启」——但下面只有一行字：「儿在长安一切安好，无需挂念。」他盯着那行字，像是在看一句谎话。听见你的脚步声，他没有转头，只是把信纸折了起来：「想给家里写封信，写来写去就这一句。」,prop_add(name=INSPIRATION; val=10),,,,
>option,,,trait_has(name=kuangda_kuangke),,"你在他旁边的石阶上坐下：「一句够了。我家那封也差不多。」",,prop_sub(name=FATIGUE; val=20) | prop_sub(name=BURNOUT; val=20) | prop_add(name=INSPIRATION; val=15) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=ENV_NATURE_SNOWSTORM:lone_snow),,,
random_event,kuangke_qingliu_gaoshi_anger,trigger_tags=[kuangke_qingliu]|weight=10|era=747_kuangda,prop_gt(name=ambition; val=30)|prop_lt(name=ambition; val=100),边塞地图,高适的临时寓所里，墙上挂着一幅手绘的陇右道地图，上面用炭笔密密麻麻标注着各处烽燧的距离和驻军人数。他咬着笔杆头，蹲在一个木箱前翻找着什么，翻到一半忽然把箱子盖上，狠狠骂了一句：「兵部的调令还没下来，老子在这个破长安已经等了半个月了。」他站起来，用脚跟踢了一下箱角，走到地图前，用手指从长安一直划到河西：「我本应该在这条线上。」,prop_add(name=INSPIRATION; val=10),,,,
>option,,,trait_has(name=kuangda_kuangke),,"你走到地图前，看着那条他用指腹划出的路线：「至少你的线还在纸上。」",,prop_sub(name=FATIGUE; val=20) | prop_sub(name=BURNOUT; val=20) | prop_add(name=INSPIRATION; val=15) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=VIBE_THEME_MARTIAL:giant_roc),,,
random_event,kuangke_qingliu_gaoshi_sorrow,trigger_tags=[kuangke_qingliu]|weight=10|era=747_kuangda,prop_gt(name=ambition; val=30)|prop_lt(name=ambition; val=100),空等,城西的官驿走廊里，高适坐在一条长凳上，手里捏着一封已经拆开的信。他看见你进来，把信往怀里一揣：「调度的事，又延了。」他的语气平淡得像在说今天的天气。但你的目光扫到他身后的墙——上面用指甲划了十几道竖线，像是在数什么日子。他注意到你的视线，没解释，只是把凳子上的包袱挪了挪，给你腾出半边位置：「坐。不知道还要等多久。」,prop_add(name=MONEY; val=8),,,,
>option,,,trait_has(name=kuangda_kuangke),,"你在长凳的另一头坐下，把包袱推到脚边：「坐着等呗，反正也没别的事可做。」",,prop_sub(name=FATIGUE; val=20) | prop_sub(name=BURNOUT; val=20) | prop_add(name=INSPIRATION; val=15) | emo_add(name=TRANQUILITY; val=10) | imagery_add(name=VIBE_THEME_MARTIAL:giant_roc),,,
