# B11: Notes+Poems — 2260-2343 — 84 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
TRES_NOTE_FANGSHI_CHUYOU_DESCRIPTION_0	朝扣富儿门，暮随肥马尘。残杯与冷炙，到处潜悲辛。	At dawn I knock on the rich man's gate; at dusk I follow fat horses' dust. Leftover wine and cold scraps — everywhere I swallow grief unseen.
TRES_NOTE_FANGSHI_CHUYOU_DESCRIPTION_EXPLANATION_0	清晨去敲富豪的大门，傍晚随在达官贵人的马后吃尘土；吃的是别人的残羹冷炙，到处偷偷吞咽着悲伤与痛苦。即使如此的下贱，但仍然吃不上饭。	Knocking on wealthy doors at dawn, eating dust behind nobles' horses at dusk; surviving on others' leftovers, secretly swallowing sorrow and bitterness wherever you go. Even debasing yourself this way, you still can't get enough to eat.
TRES_NOTE_FANGSHI_CHUYOU_HEALTH_DESCRIPTION_0	朝扣富儿门，暮随肥马尘。残杯与冷炙，到处潜悲辛。	At dawn I knock on the rich man's gate; at dusk I follow fat horses' dust. Leftover wine and cold scraps — everywhere I swallow grief unseen.
TRES_NOTE_FANGSHI_CHUYOU_HEALTH_DESCRIPTION_EXPLANATION_0	清晨去敲富豪的大门，傍晚随在达官贵人的马后吃尘土；吃的是别人的残羹冷炙，到处偷偷吞咽着悲伤与痛苦。即使如此的下贱，但仍然吃不上饭。	Knocking on wealthy doors at dawn, eating dust behind nobles' horses at dusk; surviving on others' leftovers, secretly swallowing sorrow and bitterness wherever you go. Even debasing yourself this way, you still can't get enough to eat.
TRES_NOTE_FANGSHI_CHUYOU_HEALTH_NAME_0	坊市-出游循环	Fangshi-Chuyou Cycle
TRES_NOTE_FANGSHI_CHUYOU_HEALTH_NOTE_EXPLANATION_0	去【坊市】行动出卖体力之后去【出游】可以有效获取生命。	After working at the [Market Ward] to sell your labor, going on an [Excursion] is an effective way to regain health.
TRES_NOTE_FANGSHI_CHUYOU_HEALTH_NOTE_NARRATIVE_0	昔年泰山清狂，不知薪米之贵；今入长安，方知出卖体力之迫切也。	In years past atop Mount Tai, carefree and wild, I never knew the cost of firewood and rice. Now entering Chang'an, I finally understand the urgency of selling one's labor.
TRES_NOTE_FANGSHI_CHUYOU_NAME_0	坊市-出游循环	Fangshi-Chuyou Cycle
TRES_NOTE_FANGSHI_CHUYOU_NOTE_EXPLANATION_0	去坊市出卖体力之后去出游可以有效获取额外的资源。	Working at the Market Ward to sell your labor, then going on an Excursion, is an effective way to gain extra resources.
TRES_NOTE_FANGSHI_CHUYOU_NOTE_NARRATIVE_0	昔年泰山清狂，不知薪米之贵；今入长安，方知出卖体力之迫切也。	In years past atop Mount Tai, carefree and wild, I never knew the cost of firewood and rice. Now entering Chang'an, I finally understand the urgency of selling one's labor.
TRES_NOTE_JIEDU_DESCRIPTION_0	疟疠三秋孰可忍，寒热百日相交战	How can one endure three autumns of pestilence and plague? A hundred days of cold and fever clashing within.
TRES_NOTE_JIEDU_DESCRIPTION_EXPLANATION_0	体内的寒气与热毒像两支军队一样，在我的身体里交锋厮杀。	Cold qi and heat toxin battle inside my body like two armies at war.
TRES_NOTE_JIEDU_NAME_0	解毒	Detox
