row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,zize_home_letter,trigger_tags=[VIBE_PHILOSOPHY_ZEN:temple_bell/TARGET_NPC_DUFU:thatched_grass/action:main:duzhuo]|weight=10|era=747_kuangda|store_to=747_kuangda.duzhuo,prop_lt(name=health; val=40),家书与冬袜,信差在门廊外跺着脚上的雪泥。信纸摊在案上，墨迹洇开的地方刚好是“不如早归”四个字。那双冬袜叠得齐整，袜口收针处多绕了两道线——她手冻时才这样收针。你坐下磨墨，笔管在指间转了两圈。纸铺好了。墨磨浓了。手落下去时笔尖停在半空，一滴墨坠在纸上，正好盖住“归”字。你从旧袍腋下拆了一颗木扣子放进信封。信差接过时掂了掂，没说话。,,,,,
>option,,,,,喉结动一下，袖口拭过案角，往门口走。,,prop_sub(name=money; val=2) | prop_sub(name=health; val=3) | prop_add(name=health; val=-5) | prop_add(name=talent; val=2) | prop_sub(name=health; val=5) | emo_add(name=SORROW; val=15) | prop_add(name=health; val=10) | prop_add(name=health; val=5),,,
random_event,zize_wine_boy_identity_quangui,trigger_tags=[ACTION_ENTERTAIN_DRINK:empty_cup/TARGET_NPC_DUFU:thatched_grass/action:main:duzhuo/TARGET_IDENTITY_QUANGUI]|weight=10|era=747_kuangda|store_to=747_kuangda.duzhuo,prop_lt(name=health; val=40),地上的湿痕,权贵走后半炷香，才有人把酒保往后厨拖。他的靴底在砖缝上划了一下，留下一道深色的痕迹。你看见桌上的碎银子——指甲盖大小，沾着一点血沫。你的手在袖子里张开，拇指碰到两枚铜钱。铜钱是凉的。手慢慢卷回去。旁边有人踢了一脚倒掉的酒坛，酒液还在往砖缝里渗。你站起身，绕过那片湿痕，从另一个方向走了。,,,,,
>option,,,,,等了半截入城鼓。你的手从腿边垂下来。,,"prop_sub(name=money; val=2) | prop_sub(name=health; val=3) | prop_add(name=health; val=-5) | prop_add(name=talent; val=2) | emo_add(name=SORROW; val=20) | emo_add(name=ANGER; val=10) | prop_add(name=health; val=12) | prop_sub(name=health; val=3) | leverage_add(target_tag=""TARGET_IDENTITY_QUANGUI""; key=""quangui_wine_boy_violence"")",,,
random_event,zize_young_scholar,trigger_tags=[VIBE_AESTHETIC_ELEGANT:ink_stone/TARGET_NPC_DUFU:thatched_grass/action:main:fangshi]|weight=10|era=747_kuangda|store_to=747_kuangda.fangshi,prop_lt(name=health; val=40),那件松了的青衫,他在门口站定时你正数着袖里的铜钱。余光先触到那件青衫——经纬洗得松了，透出里层麻布的纹路。他往前迈了一步，门槛的阴影从他脚背移到脚踝。你听见自己的脊椎一节节凉下去。他问“先生在长安怎么才能被人看见”。你张开嘴。舌根往上颚顶了一下。然后你听见一句话从自己喉咙里出来——“好好写，总会有人看见的”。那声音薄得像坊墙外飘进来的叫卖。他低着头认真点头，袖子里摸出一截秃笔，用唾沫润了润笔尖，抬头说“您再说一遍，我记一记”。你说不用记了。他写字的姿势让你想起十年前租住在城南土墙房里，每天蘸井水在桌上练字的时辰。,,,,,
>option,,,,,顿一下。把那截秃笔推还给他。,,prop_sub(name=health; val=3) | prop_add(name=health; val=-5) | prop_add(name=talent; val=2) | prop_sub(name=talent; val=3) | emo_add(name=SORROW; val=10) | prop_add(name=health; val=8),,,
random_event,zize_old_friend,trigger_tags=[ACTION_SOCIAL_PARTING:willow_branch/ENV_NATURE_NIGHTMOON:cold_moon/action:main:jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou,prop_lt(name=health; val=40),书堆的重量,牛车停在坊门口，车板上的干草簌簌往下掉碎屑。他把书一本一本往你怀里堆，你往后趔趄了小半步——他没看你是否站稳。转身去解缰绳，手指快得像在赶什么东西追上他之前。琴搁在书堆最上面，弦上还绷着昨夜的潮气。你喉咙滚了一下。想说「我也走」——那四个字已经抵在舌根。但你咽回去了。齿关合上时发出一声轻响，像咬碎了一小块脆骨。牛车动了。车轮碾过水沟边沿，琴弦被震出一声闷响——短促，低哑，像被谁从底下踩了一脚。你抱着那摞书站在坊门口。车的影子拉细，缩进春明门方向的灰尘里。,,,,,
>option,,,,,顿了顿。把下巴搁在最上面那本书的封皮上，朝坊门另一头走。,,prop_sub(name=health; val=3) | prop_add(name=health; val=-5) | prop_add(name=talent; val=2) | emo_add(name=SORROW; val=15) | prop_add(name=health; val=15) | prop_add(name=health; val=5) | emo_sub(name=AMBITION; val=10),,,
random_event,zize_frozen_corpse,trigger_tags=[ENV_NATURE_SNOWSTORM:lone_snow/TARGET_NPC_DUFU:thatched_grass/action:main:fangshi]|weight=10|era=747_kuangda|store_to=747_kuangda.fangshi,prop_lt(name=health; val=40),坊墙下,铁钩刮过石板的声音先于坊丁的身影抵达。你起先以为坊墙下是一堆破被褥，走近三步才看清被褥里伸出的半只手——手指收拢，掌心空着，指甲暗紫色。坊丁走近时你往后退了一步，手不自觉伸进怀里，指腹触到那几枚铜钱，还在。铜钱贴着肋骨，温热。你停了半秒，把铜钱在指间转了一下，按回原处。坊丁弯下腰时你已从他和那具身体旁绕了过去，袖口蹭过坊墙的粗面，带下一撮干土。,,,,,
>option,,,,,袖口蹭过坊墙，干土簌簌落下。你继续穿过路口。,,prop_sub(name=health; val=2) | prop_add(name=health; val=-5) | prop_add(name=talent; val=2) | emo_sub(name=ARROGANCE; val=20) | emo_sub(name=AMBITION; val=20) | emo_sub(name=TRANQUILITY; val=20) | emo_add(name=SORROW; val=10) | prop_add(name=health; val=8),,,
