row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,scene_imagery_library_scene_dailou_imagery_jade_step,trigger_tags=[action:main:fengzhao]|weight=10,,玉阶声纹,卯时三刻，大明宫外霜气凝住。你立在三班队列中，目光刺向宫门——九排铜钉在曦光里泛出铁青色，像刻度。前排紫袍的衣料摩擦声在寂静中格外清晰，每一次拂动都精确地划出等级间距。铜壶滴漏的滴水声在长廊里折返，越来越钝。忽然，宫门内侧传来靴底踏过汉白玉的回响——那声音压过心跳，你的指节在袖内掐紧。门缝泄出一线光，短暂照亮御道第一级台阶，随即灭去。你的视线追着那道光，身体前倾了一寸。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=ambition; val=10) | imagery_add(name=TARGET_PLACE_JADESTEP_DAILOU),,,
random_event,scene_imagery_library_scene_dailou_imagery_cloud_and_sun,trigger_tags=[action:main:fengzhao]|weight=10,,云日隔重门,破晓前的寒气从砖缝里渗上来，你的靴底已经冻僵。百官的幞头挨着幞头，像一片低矮的乌云，把你的视线压在地面上——你看不见宫门，只听见铜壶滴漏的节奏从门缝里漏出来，一下，一下，和着衣料摩擦的细响。内里隐约传来靴声，越来越近，然后停住了。所有人同时屏息。门轴转动的声音很沉，一线昏黄的光从门扇的缝隙里泄出来，照亮了几只朝靴的靴尖，又熄灭了。指节在笏板上攥得发白，你听着那扇门虚掩着，却遮住了所有的天光。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=frustration; val=10) | imagery_add(name=TARGET_PLACE_JADESTEP_DAILOU),,,
random_event,scene_imagery_library_scene_jixian_imagery_jade_step,trigger_tags=[action:main:fengzhao]|weight=10,,玉阶压痕,抱古籍爬梯时膝盖抵住木阶的酸软，不比宫门外站着轻松。翻页时指尖在某处滞留——书页间夹着一片褪色的朱批压痕，墨迹渗入纸纹的深度，恰好是台阶一级的高度。光线从高窗斜切下来，在书脊上划出一道与丹墀同样的斜角。你盯着那道压痕，指节发白。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=ambition; val=10) | imagery_add(name=TARGET_PLACE_JADESTEP_JIXIAN),,,
random_event,scene_imagery_library_scene_jixian_imagery_cloud_and_sun,trigger_tags=[action:main:fengzhao]|weight=10,,滞留的朱批,集贤院的书架如城墙般层层叠起，将天光切成细长的条。你指尖停在一本泛黄奏疏的折页处——那页上的朱批比正文更密，墨迹深深陷入纸纹，形成一圈微凹的压痕。窗外一阵靴声由远及近，又隐入回廊尽头。你的拇指不自觉地在朱批边缘来回摩挲，感受那道凹陷的纹理，直至指腹磨出燥热。光线移动，朱批渐渐没入阴影。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=frustration; val=10) | imagery_add(name=TARGET_PLACE_JADESTEP_JIXIAN),,,
random_event,scene_imagery_library_scene_huaqing_imagery_jade_step,trigger_tags=[action:main:fengzhao]|weight=10,,隔乐窥阶,水汽从温泉池漫过来，裹着硫磺味和变调的丝竹声。你站在外苑的石板地上，耳廓微动——那曲子本该是高亢的《凉州》，但被湿气浸透，音阶软塌塌地滑下去，像一节节断开的玉片。你的目光穿过蒸汽，钉在内院门口那三级汉白玉台阶上，水珠顺着阶棱滚落，在暗处泛出冷光。指节扣紧刀鞘，骨节发白。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=ambition; val=10) | imagery_add(name=TARGET_PLACE_JADESTEP_HUAQING),,,
random_event,scene_imagery_library_scene_huaqing_imagery_cloud_and_sun,trigger_tags=[action:main:fengzhao]|weight=10,,水汽遮断的日光,水汽贴着地面爬行，把内苑的飞檐裹成模糊的剪影。你站在石阶下，目光穿过氤氲，试图描出门帘后那团金色的轮廓——每一次帘角被风掀起，都有一道细碎的光和人声的残片泄出，你的瞳孔跟着那道缝隙收缩一次。丝竹声搅着酒气从缝隙里挤出来，你的鼻翼本能地翕动，像在捕捉一种不属于这里的温度。然后帘子落下，水声重新涨满耳廓——那截光断了，只有石栏上的铜钉在雾里发着哑光，湿漉漉的，够不着。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=frustration; val=10) | imagery_add(name=TARGET_PLACE_JADESTEP_HUAQING),,,
random_event,scene_imagery_library_scene_zhongnan_imagery_giant_roc,trigger_tags=[action:main:denggao]|weight=10,,终南绝顶瞰长安,山风灌进袍袖，衣料啪啪作响如百面旌旗撕扯风向。你前倾半步，肩胛骨顶住风压——视线越过翻涌的云海，长安城缩成棋盘方格，朱雀大街细如一道刻痕。指节扣进岩缝，白得发青。风突然转向，将你推回半步；衣襟朝长安方向笔直飞去，像一具被扯直的躯壳。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_ZHONGNAN),,,
random_event,scene_imagery_library_scene_zhongnan_imagery_cloud_and_sun,trigger_tags=[action:main:denggao]|weight=10,,绝顶云光碎,山风从背后推搡，将你的身体压向前方。云海翻腾，长安如棋盘摊在脚下——阳光被云层撕成碎金，落在东市是整片，落在西坊是几缕，落在皇城方向是一道窄窄的亮线。你的手指在袖中攥紧，指节抵着掌心。风又拽了拽衣襟，提醒你这高度有多虚。云层合拢时，所有光斑同时熄灭，像谁吹熄了一盏灯。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=frustration; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_ZHONGNAN),,,
