# B12: Tutorial 1 — 2558-2687 — 130 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
TRES_TIME_GAIN_TEXT_0	时光从容，岁月静好	"Go on." He waves a hand, his expression serene. "You and I share a bond of affinity. We shall meet again, in time."
TRES_TIME_GAIN_TEXT_1	偷得浮生半日闲	You bow deeply, turn, and set out on the road home. After a few steps, you cannot help but glance back — the Taoist has already turned toward the mountain, his figure slowly vanishing into the forest.
TRES_TIME_LOSS_TEXT_0	时光流逝	This journey to Mount Tai has profited you greatly, you think. You will return to pay a visit someday.
TRES_TIME_LOSS_TEXT_1	光阴似箭，日月如梭	What you do not realize is that this parting will stretch across twenty years.
TRES_TIME_PERCEPTION_TEXT_0	时间紧迫	The clouds beneath your feet churn like an ocean of waves. Distant peaks emerge and vanish in the sea of mist, like azure islands floating in a white expanse. The dome of heaven arches above, the stars arrayed across it, and for a moment you feel utterly alone between sky and earth.
TRES_TIME_PERCEPTION_TEXT_1	尚有余裕	Ten thousand leagues of deep-blue waves surge and roll — the sun and moon seem to rise from within them, the River of Stars to pour from their depths.
TRES_TIME_PERCEPTION_TEXT_2	时间充裕	Scroll after scroll of bamboo slips unfurl before your eyes, filled with the names of those who rose and fell, who triumphed and perished.
TRES_TUBO_KHANATE_DESCRIPTION_0	高原上的雄狮，时刻觊觎着河西走廊与安西四镇。	You suddenly understand — this magnificent landscape, this is the poetry you are meant to write.
TRES_TUBO_KHANATE_NAME_0	吐蕃	He slowly opens his eyes, studies you for a moment, then speaks: "Young man, why have you come to Mount Tai?"
TRES_TUT_CHUYOU_DESCRIPTION_0	在泰山周围探索	The mountain wind rises, and the fog churns like a tide. For a moment you think you glimpse the silhouette of the summit — then it is gone, as if it were never there.
TRES_TUT_CHUYOU_EAST_DESCRIPTION_0	前往泰山东麓，寻找幽静的山谷	You think of the Taoist — he has cultivated on this mountain for many years. Perhaps he knows the origin of this fog.
TRES_TUT_CHUYOU_EAST_NAME_0	东麓探幽	You rack your brains for what feels like an eternity, but all you manage are a few dry, lifeless lines. Even you shake your head at them.
