# B01: System UI — 2-121 — 120 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
ACT_BAIYE_MASS_DISTRIBUTION_DESC	广发诗文行卷以期一遇伯乐	Pay Homage · Mass Distribution
ACT_BAIYE_MASS_DISTRIBUTION_NAME	拜谒 · 广发行卷	Present a calling card and wait — without a sponsor, it's a humbling grind
ACT_BAIYE_NORMAL_DESC	投刺候见无人引荐不足为外人道	Pay Homage · Ordinary Visit
ACT_BAIYE_NORMAL_NAME	拜谒 · 普通拜谒	Submit a new poem and knock on noble gates with talent
ACT_BAIYE_POEM_VISIT_DESC	递上新诗以才华叩响朱门	Pay Homage · Poem Visit
ACT_BAIYE_POEM_VISIT_NAME	拜谒 · 携诗拜谒	Trade leverage for a sudden windfall
ACT_BAIYE_THREATEN_DESC	以把柄为筹码换来横财	Pay Homage · Extortion
ACT_BAIYE_THREATEN_NAME	拜谒 · 要挟	Reflect on the past atop Leyou Plateau
ACT_DENGGAO_LEYOUYUAN_DESC	乐游原上怀古	Excursion · Leyou Plateau
ACT_DENGGAO_LEYOUYUAN_NAME	远游 · 乐游原	Unwind by the shores of Qujiang Pool
ACT_DENGGAO_QUJIANGCHI_DESC	曲江池畔遣兴	Excursion · Qujiang Pool
ACT_DENGGAO_QUJIANGCHI_NAME	远游 · 曲江池	Compose historical verse on Shaoling Plateau
ACT_DENGGAO_SHAOLINGYUAN_DESC	少陵原上咏史	Excursion · Shaoling Plateau
ACT_DENGGAO_SHAOLINGYUAN_NAME	远游 · 少陵原	Eavesdrop on strange tales in taverns and tea houses
ACT_DUZHUO_FANGJIAN_TINGWEN_DESC	在酒肆茶馆间打听奇闻异事	Leisure · Street Gossip
ACT_DUZHUO_FANGJIAN_TINGWEN_NAME	闲居 · 坊间听闻	Use medicinal wine to purge toxins and nourish the body
ACT_DUZHUO_HEYAOJIU_DESC	以药酒祛毒养身	Leisure · Drink Medicinal Wine
ACT_DUZHUO_HEYAOJIU_NAME	闲居 · 喝药酒	Sip lightly — just enough to glow, not enough to stumble
ACT_DUZHUO_XIAOZHUO_DESC	浅尝辄止微醺养生	Leisure · A Little Drink
ACT_DUZHUO_XIAOZHUO_NAME	闲居 · 小酌一口	Manual labor
ACT_FANGSHI_BANZHUAN_DESC	体力活	Markets · Brick Hauling
ACT_FANGSHI_BANZHUAN_NAME	坊市 · 搬砖	Sell calligraphy with dignified pride
ACT_FANGSHI_FGMAIZI_DESC	清高卖字	Markets · Proud Calligraphy
ACT_FANGSHI_FGMAIZI_NAME	坊市 · 风骨卖字	Eke out a living selling calligraphy
ACT_FANGSHI_MAIZI_DESC	卖字为生	Markets · Sell Calligraphy
ACT_FANGSHI_MAIZI_NAME	坊市 · 卖字	Sell to the singing girls of Pingkang Ward for their repertoire
ACT_FANGSHI_SELL_POEM_DESC	卖与平康坊歌女传唱	Markets · Sell Poems
ACT_FANGSHI_SELL_POEM_NAME	坊市 · 卖诗	A modern-day Li Shizhen — test drugs on yourself
ACT_FANGSHI_SHIYAO_DESC	当代李时珍	Markets · Drug Trial
ACT_FANGSHI_SHIYAO_NAME	坊市 · 试药	Host a banquet for guests far and wide — may yield a referral
ACT_JIAOYOU_HOLD_FEAST_DESC	设宴款待各路宾客或可获得引荐之机	Socializing · Host a Banquet
ACT_JIAOYOU_HOLD_FEAST_NAME	交游 · 举办宴席	Attend a noble banquet, expand your network — may land a referral
ACT_JIAOYOU_INTRO_GACHA_DESC	出席权贵宴席广结人脉或可获得引荐之机	Socializing · Elegant Gathering
ACT_JIAOYOU_INTRO_GACHA_NAME	交游 · 赴宴雅集	Snoop in dark alleys — may uncover someone's dirty secret
ACT_JIAOYOU_LEVERAGE_FARM_DESC	在暗巷中打探风声或可获知他人隐秘	Socializing · Back-Alley Intel
ACT_JIAOYOU_LEVERAGE_FARM_NAME	交游 · 暗巷刺探	Recite your latest work in public — trade verse for renown
ACT_JIAOYOU_RECITE_POEM_DESC	当众宣读新作以诗换名	Socializing · Public Recital
ACT_JIAOYOU_RECITE_POEM_NAME	交游 · 宣读诗词	Make friends over drinks in local taverns — meet the common folk
ACT_JIAOYOU_TAVERN_GACHA_DESC	在坊间酒肆以酒会友结识市井中人	Socializing · Tavern Crawl
ACT_JIAOYOU_TAVERN_GACHA_NAME	交游 · 坊间买醉	Roam Chang'an with companions and take in the capital's sights
