# B09: Fallback Narratives 2 — 1998-2108 — 111 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
TRES_FANGSHI_SHIYAO_FALLBACK_DESCRIPTION_0	试药\n掌柜的递来一碗新配的汤药，说是补气血的方子。你仰头喝下，药性平和，倒无不适。掌柜满意地点点头，从柜下摸出几枚铜钱递来。	Testing Medicine\nThe shopkeeper hands you a bowl of freshly prepared herbal brew, claiming it nourishes the blood and qi. You tilt your head back and drink. The medicine is mild, causing no discomfort. The shopkeeper nods with satisfaction and fishes out a few copper coins from beneath the counter, handing them to you.
TRES_FANGSHI_SHIYAO_FALLBACK_NAME_0	试药换钱	Testing Medicine for Coin
TRES_FANG_SHI_DESCRIPTION_0	脱下长衫	Cast Off the Scholar's Robe
TRES_FANG_SHI_LOCK_NARRATIVE_0	适逢某公忌日，长安罢市，百肆紧闭	It happens to be the death anniversary of a certain dignitary. Chang'an's markets are shuttered, every shop bolted shut.
TRES_FANG_SHI_NAME_0	集市	The Marketplace
TRES_FENGXIAN_ASK_LIZHENG_DESCRIPTION_0	转身离开	Turn and Leave
TRES_FENGXIAN_ASK_LIZHENG_DESCRIPTION_1	里正还坐在那张磨得发亮的木凳上，像是从未挪过。你走过去的时候，他正[glitch level=6]闭着眼[/glitch]晒太阳——不，也许只是在打盹。冬天的太阳没有温度，照在他脸上像一层薄灰。	The village head still sits on that wooden stool, its surface worn glossy, as if he had never moved. When you approach, he has his eyes [glitch level=6]closed[/glitch], basking in the sun — no, perhaps just dozing. The winter sun carries no warmth; it lies on his face like a thin layer of ash.
TRES_FENGXIAN_ASK_LIZHENG_INFO_0	里正闭着眼，指了一个你根本不认识的方向。风里…听不到哭声了。	Eyes still shut, the village head points in a direction you don't recognize at all. In the wind… you can no longer hear the crying.
TRES_FENGXIAN_ASK_LIZHENG_NAME_0	村口的里正	The Village Head at the Entrance
TRES_FENGXIAN_ASK_LIZHENG_TRANSITION_TEXT_0	我怎么对这个地方一点都不熟悉	Why does this place feel so utterly unfamiliar
TRES_FENGXIAN_FAMILIAR_PATH_DESCRIPTION_0	折返回村口	Turn Back to the Village Entrance
TRES_FENGXIAN_FAMILIAR_PATH_DESCRIPTION_1	你凭着十年前的记忆在这片田野里摸索。路早就被荒草吞没了大半，但方向还在骨头里。风从奉先县城那边吹过来，夹着一股[glitch]柴̧̧̱̰̣̱̈̄̃̇́̀́̄烟̄̂̈̆̂̇̌̀[/glitch]味。	You grope through the fields, relying on memories from a decade ago. The path has long been swallowed by wild grass, but its direction still lives in your bones. The wind blows over from Fengxian county town, carrying a whiff of [glitch]f̈̄̃̇í̀́̄ŗ̧̱̰̣̱ē̂̈̆̂̇̌̀ẅ̄̃̇́̀́̄o̧̧̱̰̣̱ō̂̈̆̂̇̌̀d[/glitch] smoke.
TRES_FENGXIAN_FAMILIAR_PATH_INFO_0	远处的茅草屋里传来婴儿断断续续的啼哭，像是在硬撑。	From a distant thatched hut comes the intermittent cry of a baby, as if struggling to hold on.
TRES_FENGXIAN_FAMILIAR_PATH_NAME_0	熟悉的路径	A Familiar Path
TRES_FENGXIAN_FAMILIAR_PATH_TRANSITION_TEXT_0	你回到村头，察看着四周	You return to the village entrance and survey your surroundings
TRES_FENGXIAN_OLD_HOME_CORPSE_DESCRIPTION_0	退出门外	Step Back Outside
TRES_FENGXIAN_OLD_HOME_CORPSE_DESCRIPTION_1	门虚掩着。你推开门，屋里的霉味混着一股甜腻的腐烂气息迎面扑来。地上趴着一具[glitch level=4]干尸[/glitch]——骨节粗大，肩宽，不像女人，更不是孩子。你蹲下来翻看尸体的手，指节上有老茧，是握锄头的痕迹。	The door is ajar. You push it open. A musty odor mixed with a cloying sweetness of decay hits your face. On the floor lies a [glitch level=4]desiccated corpse[/glitch] — thick-knuckled, broad-shouldered. Not a woman, certainly not a child. You crouch down and turn over the hand. Calloused knuckles. The marks of a hoe.
TRES_FENGXIAN_OLD_HOME_CORPSE_INFO_0	你急疯了，在泥水里跌跌撞撞。那阵哭声变得极其微弱，几乎要被风声盖过。	Mad with desperation, you stumble through the mud. The crying has grown terribly faint, nearly swallowed by the wind.
TRES_FENGXIAN_OLD_HOME_CORPSE_NAME_0	旧居	The Old Home
TRES_FENGXIAN_OLD_HOME_CORPSE_TRANSITION_TEXT_0	哭声弱下来了...	The crying grows weaker…
TRES_FENGXIAN_VILLAGE_ENTRANCE_DESCRIPTION_0	沿着记忆中的小径，去找十年前住过的那间屋	Follow the path in your memory to find the house you lived in ten years ago
TRES_FENGXIAN_VILLAGE_ENTRANCE_DESCRIPTION_1	回头去找村口的里正，他应该知道这些年发生了什么	Go back and find the village head at the entrance; he should know what happened these years
TRES_FENGXIAN_VILLAGE_ENTRANCE_DESCRIPTION_2	不去问人，直接凭着直觉去找那间漏雨的老屋	Don't ask anyone — trust your instincts to find that leaky old house
TRES_FENGXIAN_VILLAGE_ENTRANCE_DESCRIPTION_3	你站在奉先村的村口，风从骊山方向灌过来，把衣摆吹得猎猎作响。十年前的记忆在脑子里乱撞，每条巷子都像，又都不像。村口的老槐树还在，但树下的石凳上坐着陌生的人。	You stand at the entrance of Fengxian village. The wind barrels in from the direction of Mount Li, whipping your robes with a snapping sound. Memories from ten years ago crash through your mind — every alley looks right and wrong at the same time. The old locust tree at the entrance still stands, but strangers now sit on the stone bench beneath it.
TRES_FENGXIAN_VILLAGE_ENTRANCE_FAILED_HINT_0	你不知道家在哪里	You don't know where home is
